learner_id,readiness_high,barrier_flag,baseline_band,offer,skill_gain,engagement_week4
L0214,0,0,-0.5,1,1.364567,5.756409
L0221,0,0,-0.5,0,-0.375004,2.051577
L0222,0,0,-0.5,0,1.141351,3.265844
L0227,0,0,-0.5,1,-2.045197,5.979853
L0231,0,0,-0.5,0,2.007747,3.357825
L0234,0,0,-0.5,1,-1.805855,5.987547
L0236,0,0,-0.5,0,1.355323,3.274036
L0243,0,0,-0.5,1,-3.684382,6.847956
L0249,0,0,-0.5,0,0.735646,4.503864
L0253,0,0,-0.5,0,2.216888,2.894317
L0265,0,0,-0.5,1,-2.874935,5.203517
L0272,0,0,-0.5,1,1.550820,4.617023
L0276,0,0,-0.5,1,-2.128580,4.661859
L0277,0,0,-0.5,1,0.218819,4.628177
L0278,0,0,-0.5,0,0.229535,3.125734
L0291,0,0,-0.5,0,-1.355521,4.881067
L0294,0,0,-0.5,0,1.359704,4.787075
L0297,0,0,-0.5,0,1.818474,2.090227
L0305,0,0,0.5,1,0.760295,7.332346
L0306,0,0,0.5,0,3.142926,3.722601
L0308,0,0,0.5,1,-1.807418,7.100217
L0310,0,0,0.5,0,0.830838,4.932116
L0313,0,0,0.5,0,1.758584,3.810330
L0314,0,0,0.5,1,1.508394,7.643172
L0322,0,0,0.5,0,2.637506,5.047847
L0328,0,0,0.5,1,-3.811437,5.222772
L0329,0,0,0.5,0,-1.449438,4.821366
L0330,0,0,0.5,0,1.322056,4.346591
L0331,0,0,0.5,1,-1.608326,6.401068
L0341,0,0,0.5,1,1.066310,5.978938
L0346,0,0,0.5,0,1.817911,5.392186
L0352,0,0,0.5,1,4.838276,7.057633
L0355,0,0,0.5,1,0.468083,6.590553
L0357,0,0,0.5,1,-0.653410,5.688661
L0359,0,0,0.5,0,2.755703,4.489208
L0361,0,0,0.5,1,-0.235306,6.845182
L0364,0,0,0.5,0,1.354623,2.879550
L0369,0,0,0.5,0,2.418586,4.066355
L0373,0,0,0.5,1,-0.434054,6.638886
L0375,0,0,0.5,1,-0.027967,7.919832
L0376,0,0,0.5,1,2.595879,6.174463
L0381,0,0,0.5,0,-1.321598,3.690652
L0383,0,0,0.5,0,0.231081,5.174362
L0389,0,0,0.5,1,3.172798,5.676957
L0392,0,0,0.5,1,2.898542,6.691888
L0396,0,0,0.5,1,1.235401,5.310643
L0397,0,0,0.5,0,3.606706,5.916370
L0400,0,0,0.5,0,2.311925,5.903736
L0404,0,0,0.5,0,0.631098,4.865409
L0407,0,0,0.5,1,2.735178,6.701510
L0412,0,0,0.5,1,0.567820,5.901513
L0419,0,0,0.5,0,5.109433,6.838710
L0424,0,0,0.5,0,0.826588,4.080285
L0425,0,0,0.5,1,0.708887,8.397660
L0427,0,0,0.5,0,5.696845,3.616484
L0430,0,0,0.5,1,1.565190,6.780171
L0442,0,0,0.5,1,0.027914,6.029021
L0446,0,0,0.5,1,0.618373,7.857696
L0448,0,0,0.5,1,2.060596,6.134018
L0449,0,0,0.5,0,-0.621435,4.403928
L0452,0,0,0.5,1,1.951015,7.515594
L0456,0,0,0.5,0,0.422061,3.823803
L0461,0,0,0.5,1,2.701367,5.548518
L0471,0,0,0.5,0,-2.073460,5.668942
L0474,0,0,0.5,1,2.450400,5.534834
L0482,0,0,0.5,0,1.639394,4.087123
L0486,0,0,0.5,1,3.705850,6.690148
L0487,0,0,0.5,1,2.122448,7.774560
L0494,0,0,0.5,0,1.717861,3.765216
L0497,0,0,0.5,1,-3.889550,5.295716
L0501,0,0,0.5,1,-0.397121,6.131679
L0502,0,0,0.5,1,4.198233,7.010020
L0505,0,0,0.5,1,0.309506,6.045623
L0506,0,0,0.5,1,0.150417,7.513808
L0507,0,0,0.5,1,3.545396,6.875142
L0508,0,0,0.5,1,0.344451,5.485636
L0509,0,0,0.5,0,0.037365,6.515331
L0511,0,0,0.5,0,-2.124725,3.805016
L0531,0,0,0.5,0,1.939798,3.252958
L0542,0,0,0.5,1,1.683052,7.906967
L0546,0,0,0.5,0,-0.203067,4.080179
L0548,0,0,0.5,1,0.029717,6.818712
L0552,0,0,0.5,0,2.808284,3.894367
L0553,0,0,0.5,0,5.961217,3.403476
L0556,0,0,0.5,1,0.810063,6.190501
L0567,0,0,0.5,0,1.886297,5.067332
L0568,0,0,0.5,0,2.253227,4.397437
L0569,0,0,0.5,0,3.503945,2.787090
L0576,0,0,0.5,0,-0.659031,2.315300
L0578,0,0,0.5,0,-0.179293,5.659978
L0581,0,0,0.5,0,2.221520,5.244723
L0596,0,0,0.5,0,-2.186140,3.458547
L0599,0,0,0.5,1,-0.958175,5.582250
L0613,0,1,-0.5,1,0.108364,5.342420
L0617,0,1,-0.5,1,-0.177039,4.445063
L0619,0,1,-0.5,1,-1.259106,4.065199
L0620,0,1,-0.5,1,1.142982,4.526441
L0625,0,1,-0.5,1,-1.783501,6.500175
L0629,0,1,-0.5,0,1.809958,3.314714
L0631,0,1,-0.5,1,-0.789341,3.869804
L0636,0,1,-0.5,0,-0.086193,3.207930
L0641,0,1,-0.5,1,1.069105,5.316565
L0649,0,1,-0.5,0,-1.011883,2.863002
L0652,0,1,-0.5,1,1.384506,5.411787
L0653,0,1,-0.5,0,-2.822439,3.983187
L0660,0,1,-0.5,0,-0.767518,2.335438
L0661,0,1,-0.5,1,-0.826977,5.456511
L0671,0,1,-0.5,0,2.291387,4.069714
L0677,0,1,-0.5,0,1.679404,2.724568
L0680,0,1,-0.5,1,-2.038492,3.530444
L0681,0,1,-0.5,1,-1.039747,4.369106
L0682,0,1,-0.5,1,-0.475364,3.665014
L0701,0,1,-0.5,0,0.681976,4.267284
L0703,0,1,-0.5,1,2.128101,5.786153
L0708,0,1,-0.5,1,-1.566336,4.926637
L0711,0,1,-0.5,1,0.520957,5.658773
L0720,0,1,-0.5,1,1.358003,5.464601
L0722,0,1,-0.5,1,-3.504647,6.077379
L0723,0,1,-0.5,0,-1.908574,2.314641
L0732,0,1,-0.5,1,-0.570382,4.376128
L0733,0,1,-0.5,0,-1.676920,3.417990
L0738,0,1,-0.5,1,1.656840,4.272578
L0740,0,1,-0.5,1,-1.222534,6.284341
L0745,0,1,-0.5,1,-1.412673,5.417995
L0750,0,1,-0.5,1,-2.805299,4.484270
L0753,0,1,-0.5,0,-3.236154,1.056633
L0757,0,1,-0.5,0,-6.111002,1.957847
L0760,0,1,-0.5,1,-0.991509,5.506316
L0761,0,1,-0.5,1,0.426712,5.942681
L0762,0,1,-0.5,1,-0.066734,3.582128
L0763,0,1,-0.5,0,-2.404300,2.999723
L0768,0,1,-0.5,0,-0.917236,4.125080
L0774,0,1,-0.5,1,6.538329,3.887499
L0775,0,1,-0.5,0,1.430270,4.142457
L0776,0,1,-0.5,0,-2.542313,3.785187
L0777,0,1,-0.5,1,-0.317766,3.564478
L0778,0,1,-0.5,1,2.741795,5.675473
L0787,0,1,-0.5,0,-2.381550,3.747180
L0789,0,1,-0.5,1,2.852586,5.555571
L0799,0,1,-0.5,1,-1.000126,7.030315
L0802,0,1,-0.5,0,-1.331853,4.655724
L0803,0,1,-0.5,0,-1.710302,4.462073
L0806,0,1,-0.5,0,0.698768,4.992481
L0810,0,1,-0.5,1,-0.633604,5.384292
L0813,0,1,-0.5,0,-1.367782,2.859849
L0817,0,1,-0.5,0,-0.094997,2.220306
L0819,0,1,-0.5,0,-4.612730,1.668022
L0821,0,1,-0.5,0,-0.172703,2.415586
L0822,0,1,-0.5,1,0.156317,6.570851
L0832,0,1,-0.5,1,1.116401,5.029887
L0833,0,1,-0.5,1,2.407671,3.394651
L0834,0,1,-0.5,1,-0.708930,4.091918
L0835,0,1,-0.5,0,-1.087296,3.835841
L0846,0,1,-0.5,1,-4.369802,5.542649
L0850,0,1,-0.5,0,-0.193320,2.492408
L0857,0,1,-0.5,1,-2.878492,5.850157
L0858,0,1,-0.5,0,-0.784641,1.137391
L0861,0,1,-0.5,1,2.912541,5.318242
L0865,0,1,-0.5,1,0.300243,3.850474
L0867,0,1,-0.5,1,2.145662,4.649502
L0872,0,1,-0.5,1,0.969671,5.944078
L0881,0,1,-0.5,0,0.205912,3.327613
L0882,0,1,-0.5,0,-4.300334,2.324650
L0885,0,1,-0.5,0,3.079278,2.492205
L0886,0,1,-0.5,1,3.000446,4.351245
L0888,0,1,-0.5,1,0.528341,5.960551
L0890,0,1,-0.5,0,-1.579665,2.495579
L0891,0,1,-0.5,0,2.853125,1.830505
L0901,0,1,0.5,1,5.822625,6.119705
L0907,0,1,0.5,0,-1.095024,5.621004
L0909,0,1,0.5,0,0.289363,4.778774
L0914,0,1,0.5,1,0.133776,6.231725
L0930,0,1,0.5,1,-1.348890,6.873210
L0931,0,1,0.5,1,2.716143,5.751565
L0933,0,1,0.5,0,1.425639,2.933395
L0939,0,1,0.5,1,-1.545573,6.056868
L0940,0,1,0.5,1,1.292693,6.212292
L0943,0,1,0.5,0,2.191709,3.359501
L0946,0,1,0.5,0,-2.233614,5.216688
L0949,0,1,0.5,1,4.673468,5.360877
L0952,0,1,0.5,0,-1.893676,5.015268
L0953,0,1,0.5,1,3.247374,7.154086
L0956,0,1,0.5,0,0.051262,3.939056
L0961,0,1,0.5,1,-1.640609,6.656916
L0962,0,1,0.5,0,0.726007,5.650299
L0966,0,1,0.5,0,1.230533,4.336778
L0972,0,1,0.5,1,2.594151,7.354176
L0975,0,1,0.5,1,4.084050,5.961156
L0977,0,1,0.5,1,1.033951,8.183033
L0984,0,1,0.5,1,3.952063,8.398137
L0985,0,1,0.5,1,2.209484,6.926299
L0998,0,1,0.5,0,2.593885,4.295574
L1008,0,1,0.5,1,1.115084,5.011455
L1012,0,1,0.5,0,0.424419,3.740309
L1013,0,1,0.5,0,-0.225442,3.237399
L1014,0,1,0.5,0,-4.051819,5.106304
L1017,0,1,0.5,0,-2.886803,4.693568
L1019,0,1,0.5,0,1.190240,5.627302
L1021,0,1,0.5,0,0.903383,4.202446
L1024,0,1,0.5,1,0.847291,5.627374
L1028,0,1,0.5,1,-1.627365,6.920877
L1036,0,1,0.5,0,-2.603224,4.117897
L1040,0,1,0.5,1,1.662016,6.120943
L1042,0,1,0.5,1,1.538738,7.583987
L1047,0,1,0.5,1,1.025467,5.688777
L1050,0,1,0.5,0,-1.237330,4.432061
L1064,0,1,0.5,1,2.498667,7.921496
L1068,0,1,0.5,1,-2.262858,5.401161
L1072,0,1,0.5,1,5.242335,8.093856
L1074,0,1,0.5,0,1.549848,4.173188
L1075,0,1,0.5,0,-2.055784,4.709040
L1079,0,1,0.5,1,0.108906,5.139938
L1080,0,1,0.5,0,0.259947,5.361558
L1086,0,1,0.5,0,1.324198,4.630884
L1094,0,1,0.5,0,-1.930613,3.850374
L1096,0,1,0.5,1,-0.024624,4.952819
L1098,0,1,0.5,1,2.015287,4.947796
L1101,0,1,0.5,0,0.310468,2.822755
L1102,0,1,0.5,1,-0.349711,6.029268
L1105,0,1,0.5,1,3.470601,6.826886
L1107,0,1,0.5,1,5.795919,5.986544
L1116,0,1,0.5,0,0.254514,4.354246
L1119,0,1,0.5,1,1.542773,5.171259
L1121,0,1,0.5,0,-0.177207,2.935435
L1123,0,1,0.5,0,0.578557,4.135449
L1124,0,1,0.5,0,2.002126,4.951873
L1127,0,1,0.5,0,-3.579128,3.987563
L1134,0,1,0.5,0,-1.033892,2.545320
L1138,0,1,0.5,1,3.047555,4.862075
L1146,0,1,0.5,1,0.207233,6.466819
L1150,0,1,0.5,1,0.092830,7.067630
L1152,0,1,0.5,0,-0.200805,3.582537
L1156,0,1,0.5,0,0.643355,3.672603
L1163,0,1,0.5,0,1.135197,3.501511
L1166,0,1,0.5,1,4.072121,6.355378
L1168,0,1,0.5,1,3.801321,5.601044
L1170,0,1,0.5,1,-1.821944,6.773361
L1177,0,1,0.5,0,0.683601,3.550550
L1180,0,1,0.5,0,3.177284,4.492375
L1183,0,1,0.5,1,4.355112,4.730322
L1191,0,1,0.5,0,1.919680,6.911687
L1193,0,1,0.5,1,3.678965,4.633473
L1194,0,1,0.5,1,-1.086942,5.937504
L1202,1,0,-0.5,1,5.342783,5.394622
L1203,1,0,-0.5,0,-3.088993,5.053321
L1206,1,0,-0.5,0,2.394040,4.995083
L1207,1,0,-0.5,0,1.691472,3.756089
L1211,1,0,-0.5,0,-2.034277,4.550760
L1216,1,0,-0.5,1,6.979634,5.241305
L1220,1,0,-0.5,0,4.958132,5.303679
L1221,1,0,-0.5,1,0.008160,5.274102
L1225,1,0,-0.5,0,0.897708,2.136268
L1232,1,0,-0.5,1,5.584029,4.340238
L1242,1,0,-0.5,1,2.419115,5.297904
L1249,1,0,-0.5,1,4.086688,5.203768
L1258,1,0,-0.5,0,3.952144,4.221305
L1263,1,0,-0.5,0,-0.806837,4.453073
L1269,1,0,-0.5,0,1.688072,5.316986
L1271,1,0,-0.5,0,4.623073,3.193427
L1277,1,0,-0.5,1,2.717800,5.397114
L1278,1,0,-0.5,1,2.052564,6.631333
L1282,1,0,-0.5,0,0.424335,3.873216
L1289,1,0,-0.5,1,1.700428,5.980466
L1290,1,0,-0.5,0,2.819992,2.196668
L1291,1,0,-0.5,1,2.599347,6.811493
L1294,1,0,-0.5,0,4.705508,4.475775
L1298,1,0,-0.5,0,1.585299,4.942714
L1308,1,0,-0.5,1,4.061928,7.109578
L1313,1,0,-0.5,1,1.944853,5.689968
L1314,1,0,-0.5,0,1.297279,4.256612
L1318,1,0,-0.5,1,6.414106,5.887948
L1320,1,0,-0.5,1,3.408214,7.035904
L1325,1,0,-0.5,0,-4.290244,3.330604
L1340,1,0,-0.5,0,-0.181271,4.983382
L1341,1,0,-0.5,0,3.526010,2.428756
L1343,1,0,-0.5,1,0.114750,7.763279
L1344,1,0,-0.5,1,6.302731,7.572221
L1346,1,0,-0.5,0,-2.366837,4.275993
L1352,1,0,-0.5,0,5.316239,4.687311
L1357,1,0,-0.5,1,1.694577,7.006623
L1361,1,0,-0.5,0,1.153320,5.398450
L1367,1,0,-0.5,0,-0.715584,5.384795
L1368,1,0,-0.5,1,6.763351,6.885422
L1372,1,0,-0.5,1,5.301719,4.789865
L1373,1,0,-0.5,1,3.872770,6.332763
L1375,1,0,-0.5,1,2.786032,4.199650
L1378,1,0,-0.5,1,1.205372,6.452635
L1382,1,0,-0.5,0,1.631877,5.021202
L1386,1,0,-0.5,0,1.010307,3.223702
L1387,1,0,-0.5,1,3.807386,4.641659
L1394,1,0,-0.5,0,1.843806,3.748442
L1399,1,0,-0.5,0,0.378128,4.322080
L1402,1,0,-0.5,1,5.940406,4.238900
L1406,1,0,-0.5,1,5.323515,4.688245
L1411,1,0,-0.5,0,-1.079633,4.121329
L1423,1,0,-0.5,1,4.697291,5.585725
L1425,1,0,-0.5,0,1.765392,4.426244
L1426,1,0,-0.5,1,5.359043,5.855354
L1431,1,0,-0.5,1,6.303754,5.783488
L1432,1,0,-0.5,1,5.609384,6.580507
L1435,1,0,-0.5,0,2.900935,5.432994
L1437,1,0,-0.5,1,4.853030,5.949362
L1439,1,0,-0.5,1,0.470162,5.660877
L1440,1,0,-0.5,1,3.003510,6.428218
L1444,1,0,-0.5,1,3.620946,4.763830
L1450,1,0,-0.5,0,1.643899,5.993292
L1451,1,0,-0.5,1,6.194544,7.553544
L1455,1,0,-0.5,1,1.918606,7.578996
L1457,1,0,-0.5,1,2.167180,6.599436
L1461,1,0,-0.5,1,-0.526341,5.395144
L1464,1,0,-0.5,1,5.178960,5.973708
L1465,1,0,-0.5,1,2.919379,5.518644
L1466,1,0,-0.5,1,4.776956,7.899538
L1468,1,0,-0.5,1,2.928054,5.133912
L1470,1,0,-0.5,1,2.553679,6.134376
L1489,1,0,-0.5,1,5.530533,4.755195
L1491,1,0,-0.5,0,2.669265,2.637583
L1493,1,0,-0.5,1,2.206763,5.389744
L1501,1,0,0.5,0,0.675744,4.030214
L1502,1,0,0.5,1,8.035849,7.160734
L1505,1,0,0.5,0,4.602313,5.769505
L1511,1,0,0.5,1,5.528191,9.068936
L1513,1,0,0.5,0,1.146487,3.887438
L1514,1,0,0.5,1,1.136220,5.748674
L1523,1,0,0.5,0,1.124439,6.681868
L1526,1,0,0.5,0,3.845932,4.220615
L1537,1,0,0.5,1,8.394714,7.203061
L1540,1,0,0.5,1,6.424575,7.130931
L1542,1,0,0.5,1,6.187973,7.470702
L1545,1,0,0.5,1,7.035245,6.122984
L1556,1,0,0.5,0,-2.992718,4.046528
L1558,1,0,0.5,1,6.833934,7.109461
L1561,1,0,0.5,0,-0.965583,5.524596
L1573,1,0,0.5,0,2.897985,5.723417
L1576,1,0,0.5,1,7.146907,9.029494
L1577,1,0,0.5,1,9.996100,8.544237
L1586,1,0,0.5,1,6.731213,7.684375
L1588,1,0,0.5,1,7.667101,7.700835
L1593,1,0,0.5,0,3.767116,6.982827
L1603,1,0,0.5,1,8.386701,7.992179
L1604,1,0,0.5,0,3.415152,5.698079
L1605,1,0,0.5,0,2.421281,6.597286
L1612,1,0,0.5,1,1.795477,6.699863
L1614,1,0,0.5,0,4.679065,3.381359
L1616,1,0,0.5,0,1.778644,3.961282
L1639,1,0,0.5,0,4.560211,5.536800
L1640,1,0,0.5,1,5.871918,5.579019
L1646,1,0,0.5,1,4.462230,5.916633
L1653,1,0,0.5,1,6.836590,6.964639
L1658,1,0,0.5,0,3.764433,3.281922
L1666,1,0,0.5,1,5.075211,6.165325
L1670,1,0,0.5,0,5.803210,4.726826
L1673,1,0,0.5,0,0.006342,5.345785
L1676,1,0,0.5,1,8.529820,8.085934
L1681,1,0,0.5,0,1.047262,4.079865
L1682,1,0,0.5,0,3.355505,6.112915
L1686,1,0,0.5,0,0.434828,4.312888
L1687,1,0,0.5,1,6.468317,6.811970
L1698,1,0,0.5,0,1.943052,6.002594
L1699,1,0,0.5,1,4.436651,7.928509
L1700,1,0,0.5,0,3.329287,5.837867
L1702,1,0,0.5,1,7.264890,6.071082
L1704,1,0,0.5,0,4.875121,3.947786
L1706,1,0,0.5,1,5.113749,6.621012
L1708,1,0,0.5,0,4.563720,4.620721
L1710,1,0,0.5,1,4.322587,8.878196
L1711,1,0,0.5,1,6.573837,7.451269
L1713,1,0,0.5,0,2.490705,4.650760
L1719,1,0,0.5,0,1.931260,5.074071
L1720,1,0,0.5,1,5.005022,7.143372
L1721,1,0,0.5,1,6.652188,5.393292
L1722,1,0,0.5,1,4.319864,7.511277
L1723,1,0,0.5,1,2.610363,5.602242
L1725,1,0,0.5,1,6.365625,6.776035
L1726,1,0,0.5,1,7.277204,9.127898
L1729,1,0,0.5,0,3.046194,3.652882
L1731,1,0,0.5,0,0.836684,4.355965
L1733,1,0,0.5,0,1.164485,5.051088
L1736,1,0,0.5,1,3.856171,4.998609
L1750,1,0,0.5,0,1.667967,4.766025
L1757,1,0,0.5,0,4.221584,4.014443
L1759,1,0,0.5,0,0.619198,5.295659
L1763,1,0,0.5,1,5.013406,6.420364
L1765,1,0,0.5,0,6.812570,4.870718
L1768,1,0,0.5,1,6.031334,6.462113
L1771,1,0,0.5,0,2.195350,5.931018
L1782,1,0,0.5,1,6.094801,8.208492
L1783,1,0,0.5,0,5.903503,3.469163
L1788,1,0,0.5,0,3.823720,4.424871
L1796,1,0,0.5,0,3.507717,3.558823
L1797,1,0,0.5,1,4.828524,7.289885
L1798,1,0,0.5,0,5.679895,4.617140
L1799,1,0,0.5,0,0.677183,4.481797
L1803,1,1,-0.5,1,5.486774,4.779393
L1810,1,1,-0.5,0,2.015521,4.381447
L1812,1,1,-0.5,1,1.993250,6.220446
L1820,1,1,-0.5,1,8.850704,5.880695
L1825,1,1,-0.5,0,1.684145,3.464285
L1833,1,1,-0.5,1,4.661863,5.593542
L1834,1,1,-0.5,1,3.087385,5.470372
L1844,1,1,-0.5,1,2.913579,3.869715
L1845,1,1,-0.5,1,3.486818,5.423576
L1846,1,1,-0.5,0,0.057001,4.552481
L1858,1,1,-0.5,1,4.005138,5.189521
L1860,1,1,-0.5,0,0.193680,4.001164
L1861,1,1,-0.5,1,7.390348,7.332048
L1865,1,1,-0.5,1,3.848430,4.917537
L1866,1,1,-0.5,1,1.794395,6.539388
L1867,1,1,-0.5,1,4.056112,5.764970
L1873,1,1,-0.5,1,4.986891,3.983811
L1877,1,1,-0.5,0,-3.693968,4.067744
L1883,1,1,-0.5,1,5.549070,6.130350
L1884,1,1,-0.5,1,5.023294,5.718954
L1887,1,1,-0.5,0,-1.953786,4.870296
L1889,1,1,-0.5,1,8.941913,6.084063
L1895,1,1,-0.5,1,1.333717,3.859027
L1899,1,1,-0.5,1,2.009645,6.296554
L1904,1,1,-0.5,0,1.078321,3.866186
L1905,1,1,-0.5,0,2.292036,3.278008
L1908,1,1,-0.5,1,4.795735,5.915213
L1910,1,1,-0.5,0,-1.068473,2.957586
L1922,1,1,-0.5,1,5.378715,5.586404
L1928,1,1,-0.5,0,0.009217,2.910153
L1934,1,1,-0.5,1,2.534788,5.865971
L1939,1,1,-0.5,1,2.908132,4.731126
L1946,1,1,-0.5,0,-0.923103,4.548216
L1949,1,1,-0.5,0,1.077035,3.497830
L1950,1,1,-0.5,1,7.802175,6.517404
L1957,1,1,-0.5,1,3.166948,4.977491
L1961,1,1,-0.5,0,-1.073411,5.242774
L1963,1,1,-0.5,0,-0.174943,1.625526
L1974,1,1,-0.5,1,4.543411,5.472521
L1977,1,1,-0.5,0,0.518137,1.831722
L1978,1,1,-0.5,1,3.316546,5.541191
L1979,1,1,-0.5,0,-1.738560,4.092433
L1980,1,1,-0.5,0,2.204742,4.495585
L1981,1,1,-0.5,1,3.600208,7.133697
L1983,1,1,-0.5,1,7.843174,6.541484
L1988,1,1,-0.5,0,3.353377,4.247110
L1992,1,1,-0.5,0,-0.719806,3.806532
L1999,1,1,-0.5,0,-0.116873,4.184412
L2000,1,1,-0.5,0,5.391008,3.299665
L2002,1,1,-0.5,0,3.694196,2.467259
L2004,1,1,-0.5,1,2.900027,4.903327
L2006,1,1,-0.5,1,5.981213,6.084442
L2008,1,1,-0.5,0,-0.823412,3.551108
L2016,1,1,-0.5,1,3.808342,5.850305
L2018,1,1,-0.5,1,0.802321,5.176845
L2019,1,1,-0.5,1,6.676684,5.227046
L2023,1,1,-0.5,0,-1.521837,4.014902
L2024,1,1,-0.5,1,0.619255,5.986936
L2035,1,1,-0.5,1,4.250025,5.078050
L2036,1,1,-0.5,1,2.106186,6.834626
L2046,1,1,-0.5,1,4.564030,6.385280
L2049,1,1,-0.5,0,-1.878926,2.381088
L2050,1,1,-0.5,0,-1.389952,2.049690
L2052,1,1,-0.5,1,1.285433,4.612880
L2060,1,1,-0.5,1,6.224037,4.887540
L2065,1,1,-0.5,0,3.058221,2.714460
L2067,1,1,-0.5,0,3.668864,2.496787
L2071,1,1,-0.5,0,0.436581,6.083857
L2074,1,1,-0.5,1,5.746175,5.313619
L2075,1,1,-0.5,0,1.446086,4.223815
L2080,1,1,-0.5,1,3.871515,5.245237
L2083,1,1,-0.5,1,4.753520,6.322502
L2084,1,1,-0.5,0,0.245256,3.355804
L2087,1,1,-0.5,1,7.738832,5.785445
L2091,1,1,-0.5,1,5.638850,5.760430
L2103,1,1,0.5,0,3.815431,3.917381
L2104,1,1,0.5,0,1.598987,5.029537
L2105,1,1,0.5,0,1.846611,4.489114
L2111,1,1,0.5,1,3.917843,5.496672
L2115,1,1,0.5,1,8.495025,6.069933
L2123,1,1,0.5,1,10.136942,6.660620
L2124,1,1,0.5,1,5.786052,5.036272
L2134,1,1,0.5,0,3.144214,4.492979
L2135,1,1,0.5,1,3.431516,5.161289
L2138,1,1,0.5,0,-0.134144,4.589842
L2148,1,1,0.5,1,5.387978,6.872315
L2152,1,1,0.5,1,10.128046,6.890150
L2157,1,1,0.5,0,3.341503,2.742596
L2159,1,1,0.5,0,-0.480777,6.275945
L2161,1,1,0.5,1,7.992274,6.165512
L2165,1,1,0.5,1,8.158157,5.446369
L2170,1,1,0.5,1,4.665401,5.774625
L2174,1,1,0.5,0,2.317079,1.324562
L2175,1,1,0.5,0,3.822822,4.293311
L2181,1,1,0.5,1,7.473916,6.685294
L2186,1,1,0.5,1,9.876251,5.975671
L2189,1,1,0.5,0,1.686253,2.944759
L2192,1,1,0.5,1,6.856515,6.344296
L2193,1,1,0.5,1,7.371008,5.735250
L2196,1,1,0.5,0,0.664227,5.219025
L2200,1,1,0.5,1,6.881164,6.090728
L2203,1,1,0.5,1,5.308078,9.071823
L2210,1,1,0.5,0,1.713621,3.571757
L2212,1,1,0.5,1,6.064563,6.656666
L2218,1,1,0.5,1,3.528083,6.796675
L2219,1,1,0.5,1,7.641324,5.070005
L2221,1,1,0.5,1,8.881701,7.244036
L2228,1,1,0.5,0,2.197056,5.791564
L2232,1,1,0.5,0,1.891033,3.818216
L2243,1,1,0.5,0,0.939273,4.176652
L2245,1,1,0.5,0,0.328530,5.423785
